35,68,19,20,0,3,5,0,0,1,18,0
12,5,236,82,11,12,13,0,0,22,12,0
1968,11,249,729,123,113,122,0,43,44,33,0
310,4,141,239,331,23,295,1,0,0,70,0
1,0,12,19,0,0,17,0,0,0,2,0
183,7,51,302,139,21,30,31,10,8,0,0
873,3,164,419,114,18,129,12,21,0,28,0
2649,142,769,3360,474,91,946,79,31,0,0,0
44,0,59,18,7,0,31,0,0,0,15,0
8,6,20,10,6,0,10,0,0,0,0,0
77,10,215,155,92,69,119,0,0,0,38,0
138,4,45,125,29,32,104,0,0,0,15,0
367,0,230,246,106,21,89,0,22,0,90,0
0,25,0,0,0,0,0,0,0,0,0,0
17,0,20,39,11,0,1,0,0,0,0,0
1,4,16,26,4,0,4,0,0,0,0,0
94,0,33,101,30,0,7,0,7,0,7,0
2076,348,588,2771,522,0,223,77,185,26,1,0
6,0,94,56,7,0,16,1,0,0,15,0
14,46,0,5,30,0,3,0,0,0,0,0
21,0,25,45,44,0,13,0,0,0,1,0
0,0,5,1,0,0,1,0,0,0,0,0
252,2,58,276,869,0,65,0,15,0,10,0
1,1,10,19,18,0,0,0,0,0,5,0
0,0,5,0,0,0,0,0,0,0,0,0
1594,213,422,1995,153,43,1645,10,1,0,166,0
364,0,112,329,48,83,119,0,0,0,26,0
43,14,298,92,44,0,22,0,0,22,51,0
43,32,0,93,9,0,13,6,11,5,6,0
0,1,0,0,15,8,0,0,0,0,0,0
0,0,1,2,0,0,0,0,2,0,0,0
5,7,20,28,3,0,8,0,1,0,0,0
48,6,15,38,31,0,2,0,1,0,5,0
0,0,1,0,0,0,0,0,0,0,0,0
164,0,25,148,94,6,15,0,0,1,14,1
26,18,50,165,0,67,130,0,0,1,4,0
27,22,132,90,24,53,56,0,2,2,15,0
0,25,2,5,0,0,0,0,0,0,0,0
560,148,286,1085,90,40,266,36,28,26,28,0
0,4,0,0,0,0,0,0,0,0,0,0
0,2,1,0,0,0,0,0,0,0,0,0
419,28,182,360,69,15,243,41,0,0,46,0
22,11,47,17,25,4,33,0,1,1,4,0
473,9,233,709,63,54,390,80,0,24,13,0
15,0,0,18,0,0,5,0,1,0,0,0
97,10,77,99,9,0,26,43,0,130,17,0
0,0,7,0,0,0,0,0,0,0,1,0
8,11,99,20,0,11,2,0,0,5,0,0
23,7,201,95,0,25,16,0,0,29,13,0
692,5,29,147,206,0,178,0,0,13,116,0
590,11,47,329,91,62,175,39,0,24,1,0
777,74,105,1521,41,0,360,0,34,7,16,0
668,3,49,185,29,3,107,0,0,1,5,0
61,0,16,12,7,1,6,0,0,3,0,0
0,0,1,0,0,0,0,0,0,0,0,0
4,1,1,6,0,0,0,0,0,0,2,0
