12790962,42.2192,-82.354301,culture_politics,Social Issues,Science
12874852,51.460999,-0.13923,computer_internet,Social Issues,Business
12908022,51.511799,-0.1635,culture_politics,Social Issues,Sports
12912892,51.584301,-0.01929,computer_internet,Law_Crime,Recreation
12940692,51.460999,-0.13923,computer_internet,Sports,Recreation
13012262,51.460999,-0.13923,computer_internet,Health_Medical_Pharma,Society
13015492,51.5714,-0.14984,computer_internet,Health_Medical_Pharma,Society
13052992,54.951801,-1.61639,computer_internet,Social Issues,Recreation
13053132,51.541599,-0.19764,computer_internet,Health_Medical_Pharma,Recreation
13054852,53.5909,-0.56854,arts_entertainment,Health_Medical_Pharma,Recreation
13087402,51.515099,-0.09325,computer_internet,Health_Medical_Pharma,Recreation
13121252,51.511799,-0.1635,computer_internet,Technology_Internet,Society
13158972,55.952099,-5.18312,arts_entertainment,War_Conflict,Sports
13196622,51.5042,-0.11738,arts_entertainment,Law_Crime,Sports
13223872,56.7253,-2.9158,arts_entertainment,Health_Medical_Pharma,Recreation
13314552,45.343399,-75.763603,computer_internet,Religion_Belief,Arts
13346712,51.381699,-0.2848,computer_internet,Health_Medical_Pharma,Recreation
13383662,51.512798,-0.12753,business,Business_Finance,Society
13493122,51.542801,-0.15069,computer_internet,Health_Medical_Pharma,Society
13511872,51.419498,-0.1892,computer_internet,Health_Medical_Pharma,Recreation
13513342,51.489399,-0.26194,culture_politics,Social Issues,Business
13602372,51.4636,-0.21562,computer_internet,Health_Medical_Pharma,Recreation
13612732,34.125,-118.344002,computer_internet,Health_Medical_Pharma,Recreation
13640502,38.893299,1.24402,religion,Entertainment_Culture,Science
13672572,51.582001,-0.07467,computer_internet,Health_Medical_Pharma,Recreation
13713292,51.547001,-0.10937,computer_internet,Social Issues,Recreation
13747062,51.540298,-0.16075,computer_internet,Health_Medical_Pharma,Recreation
13767702,51.511799,-0.1635,computer_internet,Health_Medical_Pharma,Recreation
13780252,51.511799,-0.1635,culture_politics,Social Issues,Business
13790962,-33.9207,151.255997,sports,Politics,Computers
13877982,34.092701,-118.267998,computer_internet,Health_Medical_Pharma,Home
13919502,51.4524,-0.12193,computer_internet,Social Issues,Recreation
14022512,51.534901,-0.12359,computer_internet,Health_Medical_Pharma,Recreation
14022672,34.098301,-118.327003,arts_entertainment,Law_Crime,Arts
14049337,51.650799,0.0566,computer_internet,Health_Medical_Pharma,Recreation
14053720,39.9561,-75.2257,computer_internet,Health_Medical_Pharma,Business
14059920,51.4711,0.02354,computer_internet,Health_Medical_Pharma,Recreation
14069438,51.462299,-0.30278,computer_internet,Health_Medical_Pharma,Society
14072988,51.511799,-0.1635,culture_politics,Social Issues,Sports
14077382,51.462101,0.14911,culture_politics,Social Issues,Health
14082402,42.968498,-81.242699,computer_internet,Health_Medical_Pharma,Society
14082466,51.498501,-0.21623,computer_internet,Social Issues,Business
14084059,52.062,-0.4063,computer_internet,Health_Medical_Pharma,Recreation
14085150,51.4688,0.04879,arts_entertainment,Health_Medical_Pharma,Recreation
14085867,51.549099,-2.48016,gaming,Health_Medical_Pharma,Recreation
14091531,51.381699,-0.2848,computer_internet,Health_Medical_Pharma,Society
14095325,51.547001,-0.10937,computer_internet,Health_Medical_Pharma,Recreation
14095679,51.455101,-0.09958,computer_internet,Social Issues,Society
14104027,51.772999,-0.1848,culture_politics,Social Issues,Business
14104315,51.410999,-0.29147,computer_internet,Health_Medical_Pharma,Recreation
14110751,52.832802,1.18562,computer_internet,Law_Crime,Society
14112416,51.515099,-0.09325,computer_internet,Technology_Internet,Home
14112815,34.128101,-118.290001,computer_internet,Health_Medical_Pharma,Recreation
14116159,42.968498,-81.242699,computer_internet,Health_Medical_Pharma,Recreation
14120876,34.039398,-118.452003,computer_internet,Health_Medical_Pharma,Arts
14121853,51.5905,0.47158,computer_internet,Religion_Belief,Society
14123619,34.1366,-118.208,religion,Law_Crime,Arts
14125206,39.732201,-75.6651,computer_internet,,Computers
